_id,Card Holder Name,Bank Name,CardNumber,Expiry,CVV
o1,Swapna Juluri,Kotak Mahindra,67864321,12/23,5675
o2,Rajesh R,AXIS Bank,43644321,10/21,5805
o3,Suresh J,Kotak Mahindra,23148890,12/25,0565
o4,Shravan Tilaka,Kotak Mahindra,22134321,02/23,2256
o5,Syed Mohammed,Andhra Bank,90964321,10/23,5165
o6,Gayathri parshi,Citi Union,678644432,09/23,0098
o7,Isha tejaswini,Kotak Mahindra,7755321,07/20,5565
o8,Vasavi S,Gayathri Bank,12124321,11/22,5675
o9,Swapna Mahi,Union Bank,55444321,12/20,3565
o0,Sathwik R,Indian Bank,99883245,12/23,5465
